x,y,z,u,v,w,p,speed
1,0.230769,0,1.39475e-35,9,-1.52106e-34,-1.08383,9
0,0.307692,0,5.34256e-36,-2.98532e-36,4.31366e-36,-0.0928146,7.4875e-36
0.0769231,0.307692,0,1.48545e-35,-7.79671e-35,2.39965e-36,-0.0877302,7.94058e-35
0.153846,0.307692,0,4.02612e-35,-1.19419e-34,4.17336e-37,-0.0854173,1.26024e-34
0.230769,0.307692,0,7.6126e-35,-1.59022e-34,3.56728e-38,-0.0930132,1.76304e-34
0.307692,0.307692,0,1.21638e-34,-2.03442e-34,3.36303e-37,-0.113662,2.37033e-34
0.384615,0.307692,0,1.7619e-34,-2.55217e-34,1.14232e-36,-0.150457,3.10129e-34
0.461538,0.307692,0,2.37573e-34,-3.12739e-34,2.49159e-36,-0.207076,3.92751e-34
0.538462,0.307692,0,2.9957e-34,-3.67563e-34,4.42866e-36,-0.287167,4.74199e-34
0.615385,0.307692,0,3.48778e-34,-3.97468e-34,6.89784e-36,-0.392684,5.28843e-34
0.692308,0.307692,0,3.61994e-34,-3.49554e-34,9.07885e-36,-0.519969,5.03299e-34
0.769231,0.307692,0,3.10266e-34,-9.61876e-35,6.84083e-36,-0.650674,3.24906e-34
0.846154,0.307692,0,1.84346e-34,7.09315e-34,-7.22932e-36,-0.743477,7.32914e-34
0.923077,0.307692,0,4.96724e-35,1.12618e-33,-2.36852e-35,-0.75462,1.12752e-33
1,0.307692,0,-1.74717e-36,9,-8.15179e-35,-0.649219,9
0,0.384615,0,5.2494e-36,-2.19433e-36,4.67794e-36,-0.0613727,7.36576e-36
0.0769231,0.384615,0,8.8211e-36,-9.5672e-35,1.50372e-36,-0.0579971,9.60896e-35
0.153846,0.384615,0,2.39608e-35,-1.44471e-34,5.05387e-37,-0.0564306,1.46445e-34
0.230769,0.384615,0,4.50505e-35,-1.90254e-34,8.03304e-37,-0.0614277,1.95516e-34
0.307692,0.384615,0,7.13418e-35,-2.40625e-34,1.59382e-36,-0.0747734,2.50983e-34
0.384615,0.384615,0,1.02085e-34,-2.97293e-34,2.73425e-36,-0.0980674,3.14343e-34
0.461538,0.384615,0,1.35348e-34,-3.56072e-34,4.22561e-36,-0.13307,3.80951e-34
0.538462,0.384615,0,1.66593e-34,-4.03734e-34,5.90189e-36,-0.180919,4.36794e-34
0.615385,0.384615,0,1.87309e-34,-4.11053e-34,7.20286e-36,-0.240739,4.51776e-34
0.692308,0.384615,0,1.852e-34,-3.18652e-34,7.1564e-36,-0.30753,3.68632e-34
0.769231,0.384615,0,1.49153e-34,-3.57446e-36,3.50027e-36,-0.368329,1.49237e-34
0.846154,0.384615,0,8.26782e-35,8.4591e-34,-5.23098e-36,-0.403889,8.49957e-34
0.923077,0.384615,0,2.03457e-35,1.22209e-33,-1.41968e-35,-0.400171,1.22234e-33
1,0.384615,0,-1.16701e-35,9,-4.66544e-35,-0.353346,9
0,0.461538,0,4.3562e-36,-1.38526e-36,4.32098e-36,-0.021069,6.29018e-36
0.0769231,0.461538,0,1.29437e-36,-1.03552e-34,1.31131e-37,-0.0199338,1.0356e-34
0.153846,0.461538,0,3.76877e-36,-1.55441e-34,2.48679e-37,-0.0195075,1.55487e-34
0.230769,0.461538,0,7.18264e-36,-2.03753e-34,1.16382e-36,-0.0215244,2.03883e-34
0.307692,0.461538,0,1.13962e-35,-2.56453e-34,2.33582e-36,-0.0264651,2.56716e-34
0.384615,0.461538,0,1.62836e-35,-3.14798e-34,3.73911e-36,-0.0348173,3.15241e-34
0.461538,0.461538,0,2.15025e-35,-3.7339e-34,5.32493e-36,-0.0470373,3.74047e-34
0.538462,0.461538,0,2.623e-35,-4.16919e-34,6.769e-36,-0.0631078,4.17799e-34
0.615385,0.461538,0,2.90702e-35,-4.1343e-34,7.97724e-36,-0.0827262,4.14528e-34
0.692308,0.461538,0,2.81215e-35,-3.02088e-34,8.32957e-36,-0.10372,3.03508e-34
0.769231,0.461538,0,2.17813e-35,3.57851e-35,5.81351e-36,-0.120449,4.22942e-35
0.846154,0.461538,0,1.12707e-35,8.98093e-34,7.3598e-37,-0.128268,8.98164e-34
0.923077,0.461538,0,2.09918e-36,1.25668e-33,-5.17941e-36,-0.124468,1.25669e-33
1,0.461538,0,-1.80575e-35,9,-3.10264e-35,-0.10966,9
0,0.538462,0,2.82698e-36,-7.15369e-37,3.33737e-36,0.0223507,4.43189e-36
